City,State,Year,Median_Income
Huntsville city,Alabama,2012,47818
Modesto city,California,2012,45267
Turlock city,California,2012,48617
Rialto city,California,2012,48197
Gilbert town,Arizona,2012,79916
Longmont city,Colorado,2012,58789
Scottsdale city,Arizona,2012,72102
Avondale city,Arizona,2012,51237
Tempe city,Arizona,2012,45009
Goodyear city,Arizona,2012,73022
Evansville city,Indiana,2012,34104
Lexington-Fayette urban county,Kentucky,2012,46248
Louisville/Jefferson County metro government (balance),Kentucky,2012,43035
Kansas City city,Kansas,2012,35876
Nampa city,Idaho,2012,36086
Palm Coast city,Florida,2012,43280
Palm Bay city,Florida,2012,36802
Brandon CDP,Florida,2012,53235
Lawrence city,Massachusetts,2012,30509
Florence-Graham CDP,California,2012,32788
Hawthorne city,California,2012,38339
Yuba City city,California,2012,45023
Sunnyvale city,California,2012,101611
San Diego city,California,2012,62395
Fayetteville city,Arkansas,2012,36689
Springdale city,Arkansas,2012,38872
Daly City city,California,2012,64206
Silver Spring CDP,Maryland,2012,71797
Germantown CDP,Maryland,2012,81525
Frederick city,Maryland,2012,62378
Savannah city,Georgia,2012,33167
Fort Myers city,Florida,2012,35348
Town 'n' Country CDP,Florida,2012,45464
Westland city,Michigan,2012,43551
Ann Arbor city,Michigan,2012,50648
Grand Rapids city,Michigan,2012,38643
Sterling Heights city,Michigan,2012,57955
Elk Grove city,California,2012,76835
Mountain View city,California,2012,91422
Lake Forest city,California,2012,82689
Santa Ana city,California,2012,53593
Whittier city,California,2012,60408
Stockton city,California,2012,43321
Long Beach city,California,2012,47837
Pasadena city,California,2012,65423
Pomona city,California,2012,46300
San Mateo city,California,2012,77820
Richmond city,California,2012,51765
Bakersfield city,California,2012,53693
Corona city,California,2012,75390
Roseville city,California,2012,70816
Chino city,California,2012,66035
San Bernardino city,California,2012,37244
Santa Monica city,California,2012,71225
South Gate city,California,2012,41942
West Covina city,California,2012,63203
Garden Grove city,California,2012,55481
Yorba Linda city,California,2012,115194
Santa Maria city,California,2012,44349
Santa Barbara city,California,2012,64766
Downey city,California,2012,60676
Glendale city,California,2012,51897
Palmdale city,California,2012,48169
Redondo Beach city,California,2012,104516
Torrance city,California,2012,71790
Salinas city,California,2012,50598
Fairfield city,California,2012,63020
Palo Alto city,California,2012,117251
Concord city,California,2012,64164
San Ramon city,California,2012,122357
Redding city,California,2012,41866
Manteca city,California,2012,55563
San Jose city,California,2012,80090
San Francisco city,California,2012,73012
Santa Clara city,California,2012,92390
Vista city,California,2012,40959
Lakewood city,California,2012,74748
Hesperia city,California,2012,38058
Ellicott City CDP,Maryland,2012,116246
Bloomington city,Indiana,2012,27643
Wilmington city,Delaware,2012,38468
Columbus city,Georgia,2012,45178
Spring Hill CDP,Florida,2012,36625
Miami Gardens city,Florida,2012,36959
St. Cloud city,Minnesota,2012,43911
Brooklyn Park city,Minnesota,2012,61687
Rancho Cordova city,California,2012,45400
Riverside city,California,2012,52697
Temecula city,California,2012,81868
Mission Viejo city,California,2012,95520
Newport Beach city,California,2012,112259
Berkeley city,California,2012,65887
Fremont city,California,2012,100574
Bellflower city,California,2012,47785
Arden-Arcade CDP,California,2012,41759
Citrus Heights city,California,2012,49143
San Marcos city,California,2012,50260
Santa Rosa city,California,2012,57653
Irvine city,California,2012,96278
Vacaville city,California,2012,70848
Chino Hills city,California,2012,82241
Fontana city,California,2012,61085
Rancho Cucamonga city,California,2012,74118
Upland city,California,2012,56480
Buena Park city,California,2012,64889
San Leandro city,California,2012,62179
Alhambra city,California,2012,57464
Norwalk city,California,2012,59476
Indio city,California,2012,46822
Murrieta city,California,2012,66306
Clovis city,California,2012,59627
Chico city,California,2012,39087
Peoria city,Arizona,2012,61880
Camarillo city,California,2012,86735
Simi Valley city,California,2012,82223
Thousand Oaks city,California,2012,87402
Folsom city,California,2012,98359
Sacramento city,California,2012,48546
Lancaster city,California,2012,46380
Colorado Springs city,Colorado,2012,52622
Pueblo city,Colorado,2012,34362
Metairie CDP,Louisiana,2012,49747
Columbia CDP,Maryland,2012,101267
Baltimore city,Maryland,2012,39241
Washington city,District of Columbia,2012,66583
Bridgeport city,Connecticut,2012,37571
Waterbury city,Connecticut,2012,39355
St. Petersburg city,Florida,2012,45119
Cape Coral city,Florida,2012,48619
Evanston city,Illinois,2012,68169
Skokie village,Illinois,2012,57422
Pembroke Pines city,Florida,2012,58149
Pompano Beach city,Florida,2012,41047
Gainesville city,Florida,2012,28914
Sandy Springs city,Georgia,2012,61118
Augusta-Richmond County consolidated government (balance),Georgia,2012,36919
Athens-Clarke County unified government (balance),Georgia,2012,32503
Johns Creek city,Georgia,2012,100478
Farmington Hills city,Michigan,2012,63781
Birmingham city,Alabama,2012,30701
Hoover city,Alabama,2012,70583
Fresno city,California,2012,38386
Oceanside city,California,2012,59640
Yuma city,Arizona,2012,41624
Greeley city,Colorado,2012,44780
Thornton city,Colorado,2012,60972
San Tan Valley CDP,Arizona,2012,57331
Gary city,Indiana,2012,24914
Lafayette city,Louisiana,2012,40396
Overland Park city,Kansas,2012,70289
Olathe city,Kansas,2012,76836
Boise City city,Idaho,2012,47446
Meridian city,Idaho,2012,64596
Champaign city,Illinois,2012,45864
Schaumburg village,Illinois,2012,71367
Springfield city,Illinois,2012,48683
Kalamazoo city,Michigan,2012,30214
Livonia city,Michigan,2012,67934
St. Paul city,Minnesota,2012,48235
Tucson city,Arizona,2012,35354
Alameda city,California,2012,74860
Lynwood city,California,2012,41864
Redwood City city,California,2012,76206
Pittsburg city,California,2012,51950
Walnut Creek city,California,2012,77926
Carson city,California,2012,68752
Compton city,California,2012,41060
Westminster city,California,2012,51270
South San Francisco city,California,2012,72206
Oxnard city,California,2012,57351
Little Rock city,Arkansas,2012,45951
Surprise city,Arizona,2012,59553
Fort Smith city,Arkansas,2012,35989
Indianapolis city (balance),Indiana,2012,40854
Waterloo city,Iowa,2012,45799
Shreveport city,Louisiana,2012,40065
New Orleans city,Louisiana,2012,34361
Aurora city,Illinois,2012,58675
Boca Raton city,Florida,2012,67612
Lakeland city,Florida,2012,39997
Pine Hills CDP,Florida,2012,35714
Clearwater city,Florida,2012,43288
Highlands Ranch CDP,Colorado,2012,98580
Lansing city,Michigan,2012,33514
Anchorage municipality,Alaska,2012,72575
Napa city,California,2012,65217
Escondido city,California,2012,45466
Menifee city,California,2012,50463
Costa Mesa city,California,2012,62656
Orange city,California,2012,74117
El Monte city,California,2012,40902
Moreno Valley city,California,2012,50880
Redlands city,California,2012,61681
Chandler city,Arizona,2012,70122
Glendale city,Arizona,2012,45765
Mesa city,Arizona,2012,47256
Flagstaff city,Arizona,2012,48522
Phoenix city,Arizona,2012,44153
Visalia city,California,2012,50097
Hayward city,California,2012,60586
Livermore city,California,2012,100222
Baldwin Park city,California,2012,50972
Inglewood city,California,2012,41649
Jonesboro city,Arkansas,2012,43353
Newton city,Massachusetts,2012,125642
Lowell city,Massachusetts,2012,45271
Fall River city,Massachusetts,2012,31143
Deerfield Beach city,Florida,2012,37070
Largo city,Florida,2012,36920
West Palm Beach city,Florida,2012,40229
Lehigh Acres CDP,Florida,2012,36295
Rochester Hills city,Michigan,2012,81635
Ontario city,California,2012,52014
Pleasanton city,California,2012,112665
Oakland city,California,2012,48196
Burbank city,California,2012,66844
East Los Angeles CDP,California,2012,35171
Apple Valley town,California,2012,40313
San Buenaventura (Ventura) city,California,2012,62077
Santa Clarita city,California,2012,78894
Quincy city,Massachusetts,2012,58051
Cambridge city,Massachusetts,2012,76264
Danbury city,Connecticut,2012,61708
New Haven city,Connecticut,2012,36530
Stamford city,Connecticut,2012,75771
Bolingbrook village,Illinois,2012,77632
Joliet city,Illinois,2012,61269
Sunrise city,Florida,2012,50097
Dearborn city,Michigan,2012,44021
Detroit city,Michigan,2012,23600
Jackson city,Mississippi,2012,30219
Lakewood city,Colorado,2012,53967
Denver city,Colorado,2012,50488
Boulder city,Colorado,2012,56274
Baton Rouge city,Louisiana,2012,38806
South Bend city,Indiana,2012,32606
Fort Lauderdale city,Florida,2012,50997
Fort Wayne city,Indiana,2012,42540
Waukegan city,Illinois,2012,40149
Rochester city,Minnesota,2012,61741
Dothan city,Alabama,2012,42665
Muncie city,Indiana,2012,30213
Waldorf CDP,Maryland,2012,87360
Kenner city,Louisiana,2012,45638
Elgin city,Illinois,2012,57305
Bloomington city,Illinois,2012,61171
Tallahassee city,Florida,2012,39913
Arvada city,Colorado,2012,61921
Hemet city,California,2012,30141
Perris city,California,2012,44200
Portland city,Maine,2012,42155
Des Moines city,Iowa,2012,45001
Westminster city,Colorado,2012,65244
Cicero town,Illinois,2012,39680
Melbourne city,Florida,2012,36171
Centennial city,Colorado,2012,88598
Fort Collins city,Colorado,2012,51343
Loveland city,Colorado,2012,56798
Minneapolis city,Minnesota,2012,47604
Plymouth city,Minnesota,2012,86419
Vallejo city,California,2012,52388
Milpitas city,California,2012,101644
Cedar Rapids city,Iowa,2012,51429
Iowa City city,Iowa,2012,40926
Alafaya CDP,Florida,2012,60305
Port St. Lucie city,Florida,2012,47852
Orlando city,Florida,2012,41695
New Britain city,Connecticut,2012,37034
Hartford city,Connecticut,2012,27753
Peoria city,Illinois,2012,40929
Decatur city,Illinois,2012,37397
Macon city,Georgia,2012,23127
Weston city,Florida,2012,83696
Lauderhill city,Florida,2012,34161
Miramar city,Florida,2012,64907
Jacksonville city,Florida,2012,42800
Urban Honolulu CDP,Hawaii,2012,59464
Troy city,Michigan,2012,81800
Wyoming city,Michigan,2012,44793
Casas Adobes CDP,Arizona,2012,49447
Merced city,California,2012,36027
Tracy city,California,2012,69514
Glen Burnie CDP,Maryland,2012,57589
Lawrence city,Kansas,2012,47755
Norwalk city,Connecticut,2012,70580
Kendall CDP,Florida,2012,57527
Miami Beach city,Florida,2012,41403
Warner Robins city,Georgia,2012,42265
Rockford city,Illinois,2012,37363
Carmel city,Indiana,2012,104433
New Bedford city,Massachusetts,2012,35555
Lynn city,Massachusetts,2012,41286
Worcester city,Massachusetts,2012,43492
Boston city,Massachusetts,2012,51642
Somerville city,Massachusetts,2012,62133
Los Angeles city,California,2012,46803
Lafayette city,Indiana,2012,40393
Sioux City city,Iowa,2012,39575
Lake Charles city,Louisiana,2012,32575
Albany city,Georgia,2012,28461
Chicago city,Illinois,2012,45214
Deltona city,Florida,2012,42192
Hialeah city,Florida,2012,28878
Miami city,Florida,2012,28301
Hammond city,Indiana,2012,36966
Fishers town,Indiana,2012,95392
Arlington Heights village,Illinois,2012,71825
Flint city,Michigan,2012,27149
Duluth city,Minnesota,2012,43799
Mobile city,Alabama,2012,35238
Tuscaloosa city,Alabama,2012,37069
Union City city,California,2012,85040
Davis city,California,2012,52832
Wichita city,Kansas,2012,43776
Davenport city,Iowa,2012,45553
Aurora city,Colorado,2012,50512
Naperville city,Illinois,2012,109533
Palatine village,Illinois,2012,70754
Atlanta city,Georgia,2012,46466
Riverview CDP,Florida,2012,61504
Boynton Beach city,Florida,2012,44104
Brockton city,Massachusetts,2012,49242
Framingham CDP,Massachusetts,2012,68373
Warren city,Michigan,2012,41006
Southfield city,Michigan,2012,45494
Gulfport city,Mississippi,2012,38313
Topeka city,Kansas,2012,40469
Tampa city,Florida,2012,40894
Hollywood city,Florida,2012,44105
Plantation city,Florida,2012,66237
Davie town,Florida,2012,57092
Coral Springs city,Florida,2012,68224
Roswell city,Georgia,2012,81692
Bloomington city,Minnesota,2012,58465
Springfield city,Massachusetts,2012,31356
Milwaukee city,Wisconsin,2013,35186
Santa Fe city,New Mexico,2013,49445
Albany city,New York,2013,37097
New York city,New York,2013,52223
Rochester city,New York,2013,30158
Greenville city,North Carolina,2013,35779
Cincinnati city,Ohio,2013,34605
Longview city,Texas,2013,38352
Beaumont city,Texas,2013,40322
Waco city,Texas,2013,32149
Everett city,Washington,2013,50874
Bellingham city,Washington,2013,39301
Orem city,Utah,2013,51944
Provo city,Utah,2013,38877
St. George city,Utah,2013,53524
Sioux Falls city,South Dakota,2013,51158
Salem city,Oregon,2013,43436
Warwick city,Rhode Island,2013,68548
Providence city,Rhode Island,2013,36378
Pawtucket city,Rhode Island,2013,40624
Knoxville city,Tennessee,2013,35254
Erie city,Pennsylvania,2013,32508
Guaynabo zona urbana,Puerto Rico,2013,41661
Omaha city,Nebraska,2013,47512
Syracuse city,New York,2013,31683
Schenectady city,New York,2013,36673
Raleigh city,North Carolina,2013,55170
Concord city,North Carolina,2013,55551
Cleveland city,Ohio,2013,26096
Youngstown city,Ohio,2013,24767
Abilene city,Texas,2013,43059
Amarillo city,Texas,2013,45818
Mesquite city,Texas,2013,46423
Grand Prairie city,Texas,2013,55290
Lewisville city,Texas,2013,57457
Medford city,Oregon,2013,39798
Franklin city,Tennessee,2013,82300
Mount Pleasant town,South Carolina,2013,84057
Nashville-Davidson metropolitan government (balance),Tennessee,2013,46803
Lee's Summit city,Missouri,2013,77014
Kansas City city,Missouri,2013,45551
Las Vegas city,Nevada,2013,49289
Sparks city,Nevada,2013,52804
Paradise CDP,Nevada,2013,45201
Sunrise Manor CDP,Nevada,2013,40659
Reno city,Nevada,2013,48740
Albuquerque city,New Mexico,2013,48357
League City city,Texas,2013,84497
Midland city,Texas,2013,69530
Missoula city,Montana,2013,44232
Henderson city,Nevada,2013,60819
Las Cruces city,New Mexico,2013,39495
Rio Rancho city,New Mexico,2013,56844
Buffalo city,New York,2013,32392
New Rochelle city,New York,2013,66692
Canton city,Ohio,2013,25817
Portsmouth city,Virginia,2013,43904
Layton city,Utah,2013,65700
West Jordan city,Utah,2013,66264
Sandy city,Utah,2013,77719
McAllen city,Texas,2013,38223
Pharr city,Texas,2013,41556
Tulsa city,Oklahoma,2013,41495
Madison city,Wisconsin,2013,49546
Independence city,Missouri,2013,42298
Manchester city,New Hampshire,2013,51248
Nashua city,New Hampshire,2013,62808
Cheektowaga CDP,New York,2013,46990
Mount Vernon city,New York,2013,49395
Greensboro city,North Carolina,2013,41150
Irving city,Texas,2013,51722
Missouri City city,Texas,2013,89380
Plano city,Texas,2013,80448
Vancouver city,Washington,2013,47379
Frisco city,Texas,2013,109956
Charleston city,South Carolina,2013,54970
Johnson City city,Tennessee,2013,41416
Caguas zona urbana,Puerto Rico,2013,22857
Clifton city,New Jersey,2013,77225
Passaic city,New Jersey,2013,37332
Fayetteville city,North Carolina,2013,44924
El Paso city,Texas,2013,41129
Houston city,Texas,2013,45353
Sugar Land city,Texas,2013,98985
The Woodlands CDP,Texas,2013,114609
Seattle city,Washington,2013,70172
Beaverton city,Oregon,2013,56130
Bend city,Oregon,2013,48014
Rock Hill city,South Carolina,2013,39778
North Charleston city,South Carolina,2013,40667
Billings city,Montana,2013,49247
Gastonia city,North Carolina,2013,40374
Asheville city,North Carolina,2013,42558
Toledo city,Ohio,2013,31907
Norman city,Oklahoma,2013,48508
Centreville CDP,Virginia,2013,102361
Alexandria city,Virginia,2013,86775
Killeen city,Texas,2013,48066
Waukesha city,Wisconsin,2013,61757
Kirkland city,Washington,2013,93655
Laredo city,Texas,2013,40599
Fort Worth city,Texas,2013,52430
Pittsburgh city,Pennsylvania,2013,42004
Racine city,Wisconsin,2013,41886
Union City city,New Jersey,2013,40653
Paterson city,New Jersey,2013,30733
Jacksonville city,North Carolina,2013,40699
Charlotte city,North Carolina,2013,51034
Winston-Salem city,North Carolina,2013,37322
Akron city,Ohio,2013,34300
San Antonio city,Texas,2013,45399
Ogden city,Utah,2013,39357
West Valley City city,Utah,2013,51027
Wichita Falls city,Texas,2013,42129
Bayamón zona urbana,Puerto Rico,2013,23578
Lincoln city,Nebraska,2013,49419
Elizabeth city,New Jersey,2013,42386
Camden city,New Jersey,2013,22043
Cary town,North Carolina,2013,89405
Oklahoma City city,Oklahoma,2013,46232
Lubbock city,Texas,2013,45728
Allen city,Texas,2013,91204
Arlington city,Texas,2013,51400
Salt Lake City city,Utah,2013,50827
Kent city,Washington,2013,52606
Auburn city,Washington,2013,55105
Yakima city,Washington,2013,36116
Brownsville city,Texas,2013,33821
Flower Mound town,Texas,2013,116898
Dale City CDP,Virginia,2013,86636
Memphis city,Tennessee,2013,36722
Jackson city,Tennessee,2013,36610
Ponce zona urbana,Puerto Rico,2013,16722
Carolina zona urbana,Puerto Rico,2013,26609
Mayagüez zona urbana,Puerto Rico,2013,14089
O'Fallon city,Missouri,2013,77352
Newark city,New Jersey,2013,32973
Bayonne city,New Jersey,2013,51826
Jersey City city,New Jersey,2013,54700
Durham city,North Carolina,2013,50522
Dayton city,Ohio,2013,28965
Columbus city,Ohio,2013,44426
McKinney city,Texas,2013,78988
Appleton city,Wisconsin,2013,52088
Norfolk city,Virginia,2013,44030
Hampton city,Virginia,2013,43785
Arlington CDP,Virginia,2013,102501
Newport News city,Virginia,2013,49184
Lynchburg city,Virginia,2013,40477
Portland city,Oregon,2013,55571
Hillsboro city,Oregon,2013,61073
Gresham city,Oregon,2013,46401
Murfreesboro city,Tennessee,2013,52498
Clarksville city,Tennessee,2013,47631
Allentown city,Pennsylvania,2013,36655
St. Joseph city,Missouri,2013,41532
Trenton city,New Jersey,2013,36803
Bismarck city,North Dakota,2013,56545
Parma city,Ohio,2013,50205
Lorain city,Ohio,2013,32494
Broken Arrow city,Oklahoma,2013,65973
Suffolk city,Virginia,2013,60637
Roanoke city,Virginia,2013,36651
Chesapeake city,Virginia,2013,67252
Garland city,Texas,2013,45848
Richardson city,Texas,2013,71500
Harlingen city,Texas,2013,38908
Tacoma city,Washington,2013,50807
Kennewick city,Washington,2013,51582
Pasco city,Washington,2013,55844
Reading city,Pennsylvania,2013,25567
Scranton city,Pennsylvania,2013,38810
Columbia city,South Carolina,2013,41095
Yonkers city,New York,2013,65589
Fargo city,North Dakota,2013,44845
Virginia Beach city,Virginia,2013,62855
Bryan city,Texas,2013,38522
Temple city,Texas,2013,46590
North Richland Hills city,Texas,2013,60987
Lawton city,Oklahoma,2013,37197
Eau Claire city,Wisconsin,2013,42548
Oshkosh city,Wisconsin,2013,37218
San Juan zona urbana,Puerto Rico,2013,21230
North Las Vegas city,Nevada,2013,50133
Enterprise CDP,Nevada,2013,68981
Spring Valley CDP,Nevada,2013,49111
Wilmington city,North Carolina,2013,42834
Edinburg city,Texas,2013,41938
Atascocita CDP,Texas,2013,80127
Odessa city,Texas,2013,58702
Bethlehem city,Pennsylvania,2013,45263
St. Charles city,Missouri,2013,53739
East Orange city,New Jersey,2013,36871
San Angelo city,Texas,2013,44516
Austin city,Texas,2013,56351
Richmond city,Virginia,2013,39193
Corpus Christi city,Texas,2013,49686
Chattanooga city,Tennessee,2013,39475
Columbia city,Missouri,2013,42898
Springfield city,Missouri,2013,30445
Spokane city,Washington,2013,39385
Spokane Valley city,Washington,2013,46871
Carrollton city,Texas,2013,64188
Dallas city,Texas,2013,41978
Round Rock city,Texas,2013,65731
Tyler city,Texas,2013,44467
College Station city,Texas,2013,31940
Mission city,Texas,2013,41639
Victoria city,Texas,2013,50592
Denton city,Texas,2013,43976
Renton city,Washington,2013,57707
Federal Way city,Washington,2013,55775
Bellevue city,Washington,2013,92942
St. Louis city,Missouri,2013,34488
Toms River CDP,New Jersey,2013,72964
High Point city,North Carolina,2013,42462
Baytown city,Texas,2013,43488
Pasadena city,Texas,2013,46157
Pearland city,Texas,2013,95464
Philadelphia city,Pennsylvania,2013,36836
Cranston city,Rhode Island,2013,61441
Edmond city,Oklahoma,2013,76464
Rapid City city,South Dakota,2013,44960
Eugene city,Oregon,2013,45573
Kenosha city,Wisconsin,2013,42274
Green Bay city,Wisconsin,2013,42519
Dothan city,Alabama,2013,41082
Manteca city,California,2013,65215
San Jose city,California,2013,80977
San Francisco city,California,2013,77485
Santa Clara city,California,2013,95415
Vista city,California,2013,45322
Jonesboro city,Arkansas,2013,39483
South Whittier CDP,California,2013,61705
Rancho Cordova city,California,2013,49872
Riverside city,California,2013,54300
Temecula city,California,2013,78165
Gaithersburg city,Maryland,2013,79420
Tallahassee city,Florida,2013,39564
Melbourne city,Florida,2013,35830
Weston city,Florida,2013,91844
Lauderhill city,Florida,2013,34280
Miramar city,Florida,2013,55846
Jacksonville city,Florida,2013,47424
Urban Honolulu CDP,Hawaii,2013,61559
Alafaya CDP,Florida,2013,62056
Port St. Lucie city,Florida,2013,48562
Orlando city,Florida,2013,41345
Tampa city,Florida,2013,42649
Hollywood city,Florida,2013,44582
Plantation city,Florida,2013,68973
Boise City city,Idaho,2013,47847
Meridian city,Idaho,2013,63305
Cicero town,Illinois,2013,37232
Livonia city,Michigan,2013,68329
St. Paul city,Minnesota,2013,49469
Duluth city,Minnesota,2013,42176
Woodbury city,Minnesota,2013,96099
Union City city,California,2013,73563
Davis city,California,2013,61525
Chandler city,Arizona,2013,71545
Glendale city,Arizona,2013,41037
Mesa city,Arizona,2013,47561
Flagstaff city,Arizona,2013,52854
Phoenix city,Arizona,2013,46601
Gilbert town,Arizona,2013,81589
Mission Viejo city,California,2013,96639
Newport Beach city,California,2013,104523
San Clemente city,California,2013,91304
Berkeley city,California,2013,61960
Fremont city,California,2013,104838
Bellflower city,California,2013,55772
Arden-Arcade CDP,California,2013,46340
Citrus Heights city,California,2013,47955
Evansville city,Indiana,2013,32414
Bethesda CDP,Maryland,2013,149932
Glen Burnie CDP,Maryland,2013,57322
Palatine village,Illinois,2013,70940
Kissimmee city,Florida,2013,35040
Centennial city,Colorado,2013,90200
Fort Collins city,Colorado,2013,56464
Loveland city,Colorado,2013,51580
Arlington Heights village,Illinois,2013,79940
Nampa city,Idaho,2013,39655
Aurora city,Illinois,2013,60809
Rochester Hills city,Michigan,2013,80169
Flint city,Michigan,2013,23131
Gulfport city,Mississippi,2013,38119
Kalamazoo city,Michigan,2013,33766
Lansing city,Michigan,2013,33356
Vacaville city,California,2013,72925
Chino Hills city,California,2013,94826
Fontana city,California,2013,64679
Rancho Cucamonga city,California,2013,82489
Upland city,California,2013,56782
Santa Monica city,California,2013,67060
South Gate city,California,2013,47100
West Covina city,California,2013,63941
Garden Grove city,California,2013,58631
Yorba Linda city,California,2013,101668
Santa Maria city,California,2013,44547
Santa Barbara city,California,2013,64434
Mobile city,Alabama,2013,36150
Tuscaloosa city,Alabama,2013,39236
Goodyear city,Arizona,2013,72219
Gary city,Indiana,2013,26286
Indianapolis city (balance),Indiana,2013,41361
Kenner city,Louisiana,2013,50372
Overland Park city,Kansas,2013,69759
Olathe city,Kansas,2013,75304
New Britain city,Connecticut,2013,42778
Hartford city,Connecticut,2013,27417
Norwalk city,Connecticut,2013,80382
Peoria city,Illinois,2013,42189
Macon city,Georgia,2013,24623
Westminster city,Colorado,2013,63520
Elgin city,Illinois,2013,59703
Bloomington city,Illinois,2013,60652
Dearborn city,Michigan,2013,46415
Springfield city,Massachusetts,2013,34734
Lawrence city,Massachusetts,2013,36187
Antioch city,California,2013,59356
Downey city,California,2013,64386
Glendale city,California,2013,50172
Palmdale city,California,2013,55153
Redondo Beach city,California,2013,95587
Torrance city,California,2013,76597
Fayetteville city,Arkansas,2013,37369
Springdale city,Arkansas,2013,42050
Visalia city,California,2013,47231
Waterloo city,Iowa,2013,38902
Kendall CDP,Florida,2013,61639
Warner Robins city,Georgia,2013,43953
Decatur city,Illinois,2013,38974
Rockford city,Illinois,2013,40215
Carmel city,Indiana,2013,100358
Aurora city,Colorado,2013,49142
Wilmington city,Delaware,2013,37861
Danbury city,Connecticut,2013,62404
New Haven city,Connecticut,2013,36196
Stamford city,Connecticut,2013,72706
Detroit city,Michigan,2013,24820
Rochester city,Minnesota,2013,62152
Longmont city,Colorado,2013,65096
Huntsville city,Alabama,2013,48199
Hayward city,California,2013,59269
Livermore city,California,2013,91790
Baldwin Park city,California,2013,49755
Inglewood city,California,2013,41254
Indio city,California,2013,51202
Murrieta city,California,2013,72385
Los Angeles city,California,2013,48466
Albany city,Georgia,2013,28921
Chicago city,Illinois,2013,47099
Deltona city,Florida,2013,44909
Hialeah city,Florida,2013,27371
Miami city,Florida,2013,31070
Hammond city,Indiana,2013,38587
Fishers town,Indiana,2013,95590
Washington city,District of Columbia,2013,67572
Bridgeport city,Connecticut,2013,42687
Waterbury city,Connecticut,2013,36736
St. Petersburg city,Florida,2013,43894
Fort Lauderdale city,Florida,2013,49263
Minneapolis city,Minnesota,2013,50563
Maple Grove city,Minnesota,2013,92138
Jackson city,Mississippi,2013,29811
Brockton city,Massachusetts,2013,51274
Framingham CDP,Massachusetts,2013,65451
Clovis city,California,2013,65095
Chico city,California,2013,44491
Pleasanton city,California,2013,121622
Oakland city,California,2013,54394
Burbank city,California,2013,59314
East Los Angeles CDP,California,2013,40177
Naperville city,Illinois,2013,105882
Atlanta city,Georgia,2013,46485
Riverview CDP,Florida,2013,66552
Boynton Beach city,Florida,2013,46995
Plymouth city,Minnesota,2013,72634
Ann Arbor city,Michigan,2013,60147
Grand Rapids city,Michigan,2013,41669
Sterling Heights city,Michigan,2013,57732
Warren city,Michigan,2013,41953
Southfield city,Michigan,2013,49369
Hawthorne city,California,2013,43681
San Mateo city,California,2013,83791
Carson city,California,2013,72280
Compton city,California,2013,42613
Westminster city,California,2013,49656
South San Francisco city,California,2013,81361
Modesto city,California,2013,46329
Turlock city,California,2013,51780
Yuma city,Arizona,2013,44545
South Bend city,Indiana,2013,34446
Muncie city,Indiana,2013,26292
Silver Spring CDP,Maryland,2013,70412
Germantown CDP,Maryland,2013,83840
Frederick city,Maryland,2013,62285
Lake Charles city,Louisiana,2013,36708
Miami Beach city,Florida,2013,44153
Davie town,Florida,2013,59344
Coral Springs city,Florida,2013,61129
Roswell city,Georgia,2013,72317
Troy city,Michigan,2013,82557
Wyoming city,Michigan,2013,47731
St. Cloud city,Minnesota,2013,45091
Brooklyn Park city,Minnesota,2013,67537
Bloomington city,Minnesota,2013,66688
Oxnard city,California,2013,60693
Moreno Valley city,California,2013,52625
Redlands city,California,2013,61972
Montgomery city,Alabama,2013,43103
Rialto city,California,2013,49269
Carmichael CDP,California,2013,53858
Little Rock city,Arkansas,2013,44546
Casas Adobes CDP,Arizona,2013,53357
Palm Coast city,Florida,2013,47498
Palm Bay city,Florida,2013,41056
Brandon CDP,Florida,2013,56502
New Bedford city,Massachusetts,2013,33098
Lynn city,Massachusetts,2013,47155
Pueblo city,Colorado,2013,33784
Colorado Springs city,Colorado,2013,53550
Greeley city,Colorado,2013,50484
Thornton city,Colorado,2013,63507
Lakewood city,California,2013,75171
Hesperia city,California,2013,42990
Lancaster city,California,2013,45616
Elk Grove city,California,2013,70713
Mountain View city,California,2013,109802
Lake Forest city,California,2013,83544
Santa Ana city,California,2013,47914
Whittier city,California,2013,61795
Stockton city,California,2013,42114
Columbia CDP,Maryland,2013,100902
Baltimore city,Maryland,2013,42266
Des Moines city,Iowa,2013,45110
Cedar Rapids city,Iowa,2013,49809
Metairie CDP,Louisiana,2013,52545
Savannah city,Georgia,2013,36198
Fort Myers city,Florida,2013,31570
Town 'n' Country CDP,Florida,2013,53250
Worcester city,Massachusetts,2013,45011
Boston city,Massachusetts,2013,53583
Somerville city,Massachusetts,2013,70729
Eagan city,Minnesota,2013,75929
Bakersfield city,California,2013,54763
Corona city,California,2013,66094
Tucson city,Arizona,2013,35720
Yuba City city,California,2013,46256
Sunnyvale city,California,2013,98623
San Diego city,California,2013,63456
Salinas city,California,2013,46901
Fairfield city,California,2013,61823
Long Beach city,California,2013,52116
Pasadena city,California,2013,68172
Pomona city,California,2013,51379
Vallejo city,California,2013,56532
Milpitas city,California,2013,90077
Merced city,California,2013,35482
Tracy city,California,2013,75763
Newton city,Massachusetts,2013,116612
Lowell city,Massachusetts,2013,42270
Fall River city,Massachusetts,2013,32209
Iowa City city,Iowa,2013,39467
Lawrence city,Kansas,2013,50150
Bolingbrook village,Illinois,2013,76103
Joliet city,Illinois,2013,59019
Columbus city,Georgia,2013,40499
